NOME,TELEFONE,EMAIL,ID_LOJA
Ana Silva,41987654321,ana.silva@exemplo.com,1
Bruno Costa,41987654322,bruno.costa@exemplo.com,2
Carla Mendes,41987654323,carla.mendes@exemplo.com,3
Diego Souza,41987654324,diego.souza@exemplo.com,1
Elisa Ramos,41987654325,elisa.ramos@exemplo.com,2
Felipe Lima,41987654326,felipe.lima@exemplo.com,3
Gabriela Rocha,41987654327,gabriela.rocha@exemplo.com,1
Henrique Alves,41987654328,henrique.alves@exemplo.com,2
Isabela Martins,41987654329,isabela.martins@exemplo.com,3
João Pereira,41987654330,joao.pereira@exemplo.com,1
